,Ar,TegundNr,EldsnTegHeiti,Notkun,Frumorka,Losun (kg)
4583,2015,1,Bensín,16491.0,730551.3,38094.21
4675,2015,1,Bensín,0.0,0.0,0.0
4770,2015,1,Bensín,0.0,0.0,0.0
4862,2015,1,Bensín,42800.0,1896040.0,98868.0
4954,2015,1,Bensín,35970.0,1593471.0,83090.7
5046,2015,1,Bensín,0.0,0.0,0.0
5139,2015,1,Bensín,37213.0,1648535.9,85962.03
5232,2016,1,Bensín,15966.0,707293.8,36881.46
5330,2016,1,Bensín,0.0,0.0,0.0
5422,2016,1,Bensín,0.0,0.0,0.0
5514,2016,1,Bensín,44190.0,1957617.0,102078.90000000001
5606,2016,1,Bensín,0.0,0.0,0.0
5698,2016,1,Bensín,37592.0,1665325.6,86837.52
5790,2016,1,Bensín,0.0,0.0,0.0
5883,2016,1,Bensín,38607.0,1710290.1,89182.17
5975,2016,1,Bensín,0.0,0.0,0.0
6066,2017,1,Bensín,13275.0,588082.5,30665.25
6071,2017,1,Bensín,10018.0,443797.4,23141.58
6084,2017,1,Bensín,42053.0,1862947.9,97142.43000000001
6121,2017,1,Bensín,33793.0,1497029.9,78061.83
6163,2017,1,Bensín,34621.0,1533710.3,79974.51
6191,2018,1,Bensín,13362.0,591936.6,30866.22
6199,2018,1,Bensín,14649.0,648364.74,33839.19
6214,2018,1,Bensín,37383.0,1656066.9,86354.73
6251,2018,1,Bensín,31371.0,1389735.3,72467.01
6289,2018,1,Bensín,30339.0,1344017.7,70083.09
6317,2019,1,Bensín,17269.0,765016.7,39891.39
6327,2019,1,Bensín,13303.0,589322.9,30729.93
6333,2019,1,Bensín,868.0,38452.4,2005.0800000000002
6339,2019,1,Bensín,33001.0,1461944.3,76232.31
6379,2019,1,Bensín,27976.0,1236539.2,64624.560000000005
6420,2019,1,Bensín,26327.0,1166286.1,60815.37
